german-bollman-2019-histnorm-attentive_lstm-frankenstein,german-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,j3oh4zl2
german-bollman-2019-histnorm-transformer-frankenstein,german-bollman-2019-histnorm-transformer-frankenstein-sweep,lljmo4ew
hungarian-bollman-2019-histnorm-attentive_lstm-frankenstein,hungarian-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,8yxnqlcd
hungarian-bollman-2019-histnorm-transformer-frankenstein,hungarian-bollman-2019-histnorm-transformer-frankenstein-sweep,bnufzar0
icelandic-bollman-2019-histnorm-attentive_lstm-frankenstein,icelandic-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,x3hfb17z
icelandic-bollman-2019-histnorm-transformer-frankenstein,icelandic-bollman-2019-histnorm-transformer-frankenstein-sweep,qddz5xfq
portuguese-bollman-2019-histnorm-attentive_lstm-frankenstein,portuguese-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,z67qxcn3
portuguese-bollman-2019-histnorm-transformer-frankenstein,portuguese-bollman-2019-histnorm-transformer-frankenstein-sweep,tbhpv3bi
slovene-bollman-2019-histnorm-attentive_lstm-frankenstein,slovene-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,hud7qjlm
slovene-bollman-2019-histnorm-transformer-frankenstein,slovene-bollman-2019-histnorm-transformer-frankenstein-sweep,7ykxhtvh
spanish-bollman-2019-histnorm-attentive_lstm-frankenstein,spanish-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,xzhfffd8
spanish-bollman-2019-histnorm-transformer-frankenstein,spanish-bollman-2019-histnorm-transformer-frankenstein-sweep,ewhqc7re
swedish-bollman-2019-histnorm-attentive_lstm-frankenstein,swedish-bollman-2019-histnorm-attentive_lstm-frankenstein-sweep,h37cnnct
swedish-bollman-2019-histnorm-transformer-frankenstein,swedish-bollman-2019-histnorm-transformer-frankenstein-sweep,5gmtm61m
german-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,german-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,5cpe0oui
german-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,german-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,yjm3tkxl
hungarian-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,hungarian-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,ap4t6g52
hungarian-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,hungarian-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,jbct57o5
icelandic-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,icelandic-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,8hh8q7ak
icelandic-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,icelandic-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,q3cdcm2b
portuguese-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,portuguese-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,r9wd4vqj
portuguese-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,portuguese-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,idwuxidj
slovene-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,slovene-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,vda8xee6
slovene-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,slovene-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,qj6wd1zd
spanish-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,spanish-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,nnfhg2p0
spanish-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,spanish-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,qy8fql3z
swedish-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein,swedish-bollman-2019-histnorm-attentive_lstm-transformer-frankenstein-sweep,krqjjyp2
swedish-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein,swedish-bollman-2019-histnorm-transformer-attentive_lstm-frankenstein-sweep,zo09qq4u
